Designator,Mid X,Mid Y,Layer,Rotation
C1,101.650000mm,-102.150000mm,Top,90
C2,101.650000mm,-100.150000mm,Top,270
C3,99.250000mm,-104.100000mm,Top,0
C4,103.250000mm,-104.000000mm,Top,0
C5,94.000000mm,-112.500000mm,Top,90
C6,102.500000mm,-116.000000mm,Top,180
C7,106.600000mm,-107.350000mm,Top,270
C8,108.350000mm,-107.350000mm,Top,270
C9,97.700000mm,-132.900000mm,Top,180
C10,67.050000mm,-92.000000mm,Top,0
C11,66.250000mm,-93.750000mm,Top,0
C12,68.250000mm,-93.750000mm,Top,180
C13,132.500000mm,-89.250000mm,Top,180
C14,133.500000mm,-87.500000mm,Top,180
C15,131.500000mm,-87.500000mm,Top,0
C16,77.260000mm,-132.750000mm,Top,0
C17,77.050000mm,-126.250000mm,Top,0
C18,76.310000mm,-124.300000mm,Top,0
C19,77.650000mm,-119.150000mm,Top,180
C20,68.500000mm,-115.750000mm,Top,0
C21,68.500000mm,-113.000000mm,Top,0
C22,98.242821mm,-103.022490mm,Top,0
C23,98.242821mm,-101.522490mm,Top,0
D1,59.500000mm,-119.962500mm,Top,270
D2,130.000000mm,-136.000000mm,Top,0
F1,54.000000mm,-127.000000mm,Top,0
J1,124.000000mm,-136.000000mm,Top,90
J2,100.480000mm,-138.675000mm,Top,0
L1,69.000000mm,-121.500000mm,Top,180
Q1,60.000000mm,-129.000000mm,Top,90
Q2,66.200000mm,-130.200000mm,Top,0
R1,106.200000mm,-109.000000mm,Top,180
R5,102.000000mm,-117.300000mm,Top,180
R6,94.300000mm,-137.200000mm,Top,90
R7,106.700000mm,-137.200000mm,Top,90
R10,110.850000mm,-112.250000mm,Top,90
R11,109.750000mm,-113.250000mm,Top,270
R12,78.250000mm,-97.000000mm,Top,180
R13,129.600000mm,-89.250000mm,Top,180
R14,93.490000mm,-108.500000mm,Top,0
R15,91.990000mm,-109.000000mm,Top,270
R16,83.000000mm,-121.500000mm,Top,0
R17,83.000000mm,-120.250000mm,Top,180
R18,80.500000mm,-122.500000mm,Top,180
R19,79.500000mm,-124.300000mm,Top,180
R20,57.500000mm,-120.000000mm,Top,270
R21,131.000000mm,-133.000000mm,Top,270
R22,63.900000mm,-134.750000mm,Top,270
R23,67.000000mm,-134.750000mm,Top,270
SW1,134.000000mm,-136.000000mm,Top,90
SW2,66.250000mm,-139.900000mm,Top,0
U1,100.000000mm,-110.000000mm,Top,270
U2,100.980000mm,-130.425000mm,Top,90
U3,67.200000mm,-95.750000mm,Top,0
U4,132.500000mm,-85.500000mm,Top,180
U5,77.000000mm,-121.500000mm,Top,0
Y1,104.150000mm,-100.900000mm,Top,90
